URL,domain_age_days,domain_age_missing,dns_record,registrar_known,expiration_days,registration_length,whois_privacy,ns_count
http://www.be-werber.de/index.php?option=com_k2&view=itemlist&task=category&id=11:web-trends&Itemid=56,0,0,1,0,0,0,0,2
http://novmet.ru/portfolio/2011-03-15-01-08-09/2011-04-02-13-21-33/2011-04-07-01-38-23,6558,0,1,1,16,6575,0,2
http://www.imoconcept.de/index.php?view=properties&id=75:wohnen-ganz-nah-im-gruenen-in-dortmund-luetgendortmund&option=com_jea&Itemid=54,0,0,1,0,0,0,0,2
http://www.magramoto.it/component/virtuemart/details/29/7/accessori/index.html,0,0,0,0,0,0,0,0
http://amsredfern.org.au/t76f3g,0,0,1,1,0,0,0,3
https://www.allhighschools.com/school/richard-c-lee-high-school/170423,7287,0,1,1,1478,8766,0,4
https://www.slamonline.com/online/nba/2011/10/former-nbaer-isaiah-rider-arrested-for-probation-violation/,10587,0,1,1,733,11321,0,2
https://www.facebook.com/pages/Cirque-%C3%89loize/103104329729257,10405,0,1,1,3109,13514,0,4
https://www.stoneriverwealthmanagement.com/,5774,0,1,1,434,6209,0,2
http://problem-page.in/hokikausayangpial/log.php,0,0,0,0,0,0,0,0
http://www.feuerbestattung.lu/index.php/fr/accueil-pompes-funebres-brandenburger/37-pompes-funebres-brandenburger/73-pompes-funebres-brandenburger,0,0,1,1,0,0,0,2
http://5121188.com/yiyuanxiangguan/yuannaxinwen/20141020/270.html,590,0,1,1,140,731,1,2
https://www.barnone.com.au/welcome.html,0,0,0,1,0,0,0,2
https://www.macewangardens.com/,1534,0,1,1,291,1826,0,2
https://www.youtube.com/watch?v=MTjAJe0tZjw,7525,0,1,1,144,7670,0,4
https://www.so-siso.com/wp-admin/css/colors/blue/11010101000099992/.ID-99002030/,8574,0,1,1,191,8765,0,2
http://spectrumclub.net/index.php?view=article&catid=1:latest-news&id=6:we-are-volunteers&tmpl=component&print=1&layout=default&page=,6528,0,0,1,411,6940,0,3
https://www.ask.com/faqcentral/VOX_TV.html,9835,0,1,1,390,10226,0,4
https://www.insurancenewsnet.org/html/HealthInsurance/2009/1206/WELLCARE-appoints-Thomas-F--O-Neil-III--as-Vice-President--and-Timothy-S--Susanin-as-Senior-Vice-President--General-Counsel-and-Secretary.html,1349,0,1,1,111,1461,0,2
https://www.jhnewsandguide.com/article.php?art_id=5511,8382,0,1,1,383,8766,1,2
https://www.christopherhyland.com/,10536,0,1,1,2245,12782,0,2
https://www.yelp.com/biz/pioneer-services-sunnyvale,7956,0,1,1,79,8036,0,8
http://oscarcruz.pe/documentos.projectors/File.documentts/Imagedrive.documento/Imagedrive.file/filewordss/,0,0,0,0,0,0,0,0
https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/critic-reviews,9566,0,1,1,660,10227,0,4
https://www.healthgrades.com/physician/dr-glenn-cohen-3xsdv/,9682,0,1,1,179,9861,0,4
http://docs.google.com/forms/d/e/1FAIpQLSfE9kshYBFSDAfRclW8m9rAdajqoYhzhEYmEAgZexE3LQ-17A/formResponse,10235,0,1,1,1086,11322,0,4
https://www.trainweb.org/theattic/Canada.html,10001,0,1,1,224,10226,0,2
http://rdlbd.net/js/jh/identity.php,260,0,1,1,104,365,0,2
http://royalfarm-eg.com/index.php?option=com_k2&view=itemlist&task=tag&tag=Mission&Itemid=252,0,1,0,0,0,0,0,0
https://www.montreal-news.com/,0,1,0,0,0,0,0,0
https://www.amazon.co.uk/Ladies-Canyon-Joni-Mitchell/dp/B000002KOQ,10646,0,1,1,436,11083,0,8
https://www.insound.com/The-Rondelles/A/27476/,9706,0,0,1,155,9862,0,4
https://www.famous-relationships.topsynergy.com/Jessica_Mitford/,1931,0,1,1,259,2191,1,3
http://ip-160-153-41-160.ip.secureserver.net/mod_article/c8340,10039,0,0,1,2960,13000,0,8
https://www.mmcblaw.com/,5682,0,1,1,161,5844,0,2
http://eurokert.eu/index.php?option=com_content&view=article&id=82:diszhalak-arusitasa&Itemid=192,0,0,1,1,0,0,0,1
https://www.sbnation.com/ncaa-football/players/36175/cordy-glenn,7481,0,1,1,188,7669,0,4
http://peluqueriadeautor.com/index.php?page=shop.browse&category_id=48&option=com_virtuemart&Itemid=70,169,0,0,1,195,365,1,2
http://www.rsccaritas.ie/index.html,8387,0,1,1,379,8766,0,4
http://www.viaggiareinirlanda.net/citta-irlandesi/sligo.html,5936,0,1,1,272,6209,0,2
https://www.scribd.com/doc/55253729/DirecTV-United-States-Latin-America-Puerto-Rico-Channels-DirecTV-Local-Channels-with-HD,6939,0,1,1,365,7305,0,4
http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.srv-woa1.co.uk/identify-customer=RhqaQlBugMrazIwxqxN37GyGtR4kVq5ngLTSmN7FqrSNRnIk1fhqaRa0NSpqXenBLTW8ObsRgzzqAWmQb8zA9sYQaBxpqolV1I23/,0,1,0,0,0,0,0,0
https://www.mysciencebox.org/caldecott,7371,0,1,1,298,7670,0,2
http://www.bilamal.de/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy5iaWxhbWFsLmRlL2Jpb3RlY2hub2xvZ2llL2Jpb2tvcnJvc2lvbg==,0,0,1,0,0,0,0,3
http://xa.yimg.com/kq/groups/22858154/1701051781/name/Restore+Your+PayPal+Account.html,10359,0,0,1,233,10593,0,5
https://www.milkplus.blogspot.com/,0,1,1,0,0,0,0,0
https://mitsui-jyuku.mixh.jp/uploads/166ODNO38B.exe,2615,0,1,0,309,2925,0,2
http://pgee-kardjali.com/index.php?option=com_content&view=article&id=68:2010-03-12-13-44-49&catid=45&Itemid=64&lang=bg,6444,0,1,1,130,6575,0,2
http://rohdiecareers.com/wp-includes/pm.dll,0,0,0,0,0,0,0,0
http://activetalk.it/_private/paypalaonlinesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/paypalaonlinesessionsrestore23ghksjf987564jkdgh48937dskjg487395ydjfgsdf84795jhsdf83475sdjfgnmcb47835y/,0,0,0,0,0,0,0,0
https://www.forargyll.com/2008/11/govan-bvt-launch-of-hms-dragon-latest-type-45-daring-class-destroyer/,0,0,1,0,0,0,0,0
https://www.isanyoneup.com/2011/10/04/nason-nasty-schoeffler-from-las-vegasnv/,0,0,1,0,0,0,0,0
http://amadeus.inf.br/wp-admin/user/files/,0,0,0,0,0,0,0,0
https://www.lasr.net/travel/lake.php?++sh-kress-building&Lake_ID=&VA=Y&Attraction_ID=KS0108011a010,9801,0,1,1,424,10226,1,4
http://fbcancelblocka3.at.ua/confirmation.htm,0,0,1,1,0,0,0,0
http://www.tandemimmobilier.fr/index.php?option=com_content&view=article&id=110:sommes-retenues-du-depot-de-garantie&catid=21:quitter-le-logement&Itemid=29,2198,0,1,1,358,2557,0,2
http://feestineendoos.nl/system/logs/7623dh3f.exe?.7055475,122,0,1,1,0,0,0,5
https://www.thebestpictureproject.wordpress.com/2011/10/17/being-john-malkovich/,9335,0,1,1,2717,12053,0,4
https://www.hec.ca/en/international_student/index.html,9069,0,1,1,196,9265,0,2
http://www.planet-auto.go.ro/j8fn3rg3,9032,0,1,1,247,9280,0,2
http://www.enprofil.nl/silhouetknippers.html,8517,0,1,1,0,0,0,6
